team1_form,team2_form,head_to_head,venue_win_rate_t1,venue_win_rate_t2,venue_avg_score,toss_advantage,season,target
0.6,0.4,0.0,0.5,0.5,322.702024291498,0,2010,1
0.0,0.8,0.5,0.0,0.5,283.0,1,2010,1
0.4,0.6,0.5,1.0,0.5,420.0,1,2010,0
0.8,0.4,0.2,1.0,0.5,334.0,1,2010,1
0.4,0.6,1.0,0.5,0.5,363.0,0,2010,1
0.6,0.4,0.6,0.3333333333333333,1.0,292.6666666666667,0,2010,1
0.0,0.2,0.5,0.75,0.0,342.625,1,2010,0
0.4,0.6,0.5,0.5,0.6666666666666666,345.6666666666667,0,2010,0
0.8,0.4,0.25,0.4,1.0,294.0,1,2010,0
0.4,0.8,0.75,0.5,0.5,292.5,0,2010,1
0.0,0.4,0.5,0.6666666666666666,0.0,341.77777777777777,0,2010,0
0.6,0.4,0.6,0.6666666666666666,0.5,294.6666666666667,1,2010,1
0.6,0.8,0.75,0.5,0.6666666666666666,289.8,1,2010,0
0.4,0.4,0.6666666666666666,0.5,0.5,333.0,1,2010,1
0.8,0.0,0.25,0.75,0.5,349.5,1,2010,1
0.2,0.8,0.3333333333333333,0.3333333333333333,1.0,330.6666666666667,0,2010,1
0.4,0.8,0.5,0.5555555555555556,0.0,330.8888888888889,1,2010,1
0.2,0.6,0.6,0.5555555555555556,0.0,265.22222222222223,1,2010,1
0.0,0.6,0.6,0.6,0.0,340.3,1,2010,0
0.8,0.4,0.4,0.8,0.5,345.0,1,2010,1
0.2,0.8,0.3333333333333333,0.4,1.0,329.9,1,2010,1
0.4,0.0,0.6,0.6,0.0,272.5,1,2010,0
0.6,0.6,0.8,0.6,0.0,328.7,1,2010,1
0.2,0.6,0.2,0.5,0.5,322.702024291498,0,2010,0
0.4,1.0,0.4,0.45454545454545453,0.0,342.54545454545456,1,2010,1
0.6,0.2,0.6,1.0,0.0,302.2857142857143,0,2010,1
0.4,0.8,0.25,0.5454545454545454,0.0,284.45454545454544,1,2010,1
0.4,0.0,0.6,0.36363636363636365,0.0,299.0,0,2010,0
0.2,0.8,0.6,0.5454545454545454,0.0,342.54545454545456,0,2010,1
0.2,0.6,0.6,0.0,0.5,316.0,0,2010,1
0.2,0.6,0.4,0.3333333333333333,1.0,304.9166666666667,1,2010,1
0.8,0.4,0.4,0.6363636363636364,1.0,328.90909090909093,1,2010,0
0.6,0.6,0.5,1.0,0.0,303.25,1,2010,0
0.4,0.4,0.5,0.5,0.5,296.5,0,2010,1
0.6,0.4,0.75,0.5,0.0,339.5,0,2010,1
0.6,0.6,0.4,0.8333333333333334,0.5,336.3333333333333,1,2010,1
0.4,0.4,0.6,0.8888888888888888,0.0,304.1111111111111,1,2010,0
0.8,0.4,0.6,0.5384615384615384,1.0,335.0769230769231,1,2010,0
0.6,0.6,0.8,0.5,0.5,322.702024291498,0,2010,0
0.4,0.6,0.6,0.38461538461538464,1.0,306.2307692307692,1,2010,0
0.4,0.4,0.2,0.5833333333333334,1.0,289.75,0,2010,1
0.6,0.6,0.0,0.0,0.5,352.0,0,2010,0
0.4,0.8,0.6666666666666666,0.5833333333333334,0.0,320.0833333333333,0,2010,0
0.4,0.6,0.0,0.6153846153846154,1.0,287.84615384615387,0,2010,1
0.4,0.6,0.5,0.5,0.75,292.0,0,2010,0
0.6,1.0,0.3333333333333333,0.0,0.3333333333333333,297.85714285714283,1,2010,1
0.4,0.8,0.42857142857142855,0.0,0.25,291.375,0,2010,1
0.6,0.8,0.5,0.5,0.8,277.6666666666667,1,2010,1
0.8,0.6,0.8,0.5,0.0,327.2142857142857,1,2011,1
0.6,0.4,0.16666666666666666,0.0,1.0,342.0,0,2011,0
0.5,0.4,0.5,0.5,0.5,322.702024291498,1,2011,0
0.2,0.6,0.5,0.5384615384615384,0.5,316.9230769230769,1,2011,0
0.5,0.4,0.5,0.5,0.5,281.3,0,2011,1
0.4,0.4,0.6666666666666666,0.6428571428571429,0.0,286.42857142857144,1,2011,1
0.6,0.6,0.42857142857142855,0.35714285714285715,1.0,307.57142857142856,0,2011,0
0.4,0.2,0.42857142857142855,0.8,0.0,299.9,0,2011,1
0.4,0.8,0.0,0.5833333333333334,1.0,340.0,1,2011,1
1.0,0.0,0.5,1.0,0.5,276.1818181818182,0,2011,1
0.2,0.4,0.5,0.0,1.0,334.0,0,2011,1
0.4,0.6,0.5,0.8181818181818182,0.0,300.1818181818182,0,2011,0
0.6,0.0,0.5,0.5,0.5,277.3333333333333,0,2011,0
0.2,0.4,0.3333333333333333,0.1111111111111111,1.0,332.1111111111111,0,2011,0
0.8,0.4,0.42857142857142855,0.5333333333333333,0.5,325.6666666666667,1,2011,1
0.8,0.4,0.42857142857142855,0.6666666666666666,0.5,288.46666666666664,1,2011,1
1.0,0.2,0.5,1.0,0.0,278.0833333333333,0,2011,0
0.3333333333333333,0.8,0.5,0.0,0.5,323.0,1,2011,1
0.4,0.2,0.5714285714285714,0.5,0.5,308.14285714285717,0,2011,0
0.6,0.6666666666666666,0.5,0.4,0.5,290.0,0,2011,1
0.8,0.5,0.5,0.6875,0.5,280.8125,1,2011,0
0.4,0.4,0.3333333333333333,0.6153846153846154,0.5,343.15384615384613,0,2011,1
0.6,0.6,0.42857142857142855,0.5,0.5,284.0,0,2011,1
0.6,0.4,0.5,0.6470588235294118,0.0,279.47058823529414,0,2011,0
0.2,0.6,0.3333333333333333,0.4666666666666667,1.0,308.93333333333334,0,2011,1
0.4,0.8,0.5,0.1,1.0,332.0,1,2011,0
0.4,0.6,0.5,0.75,0.5,301.75,1,2011,1
0.4,0.5,0.5,0.5625,0.5,326.875,0,2011,1
0.4,0.4,0.8333333333333334,0.5,0.0,316.6875,0,2011,0
0.4,0.4,0.0,0.6666666666666666,0.6666666666666666,285.6923076923077,1,2011,0
0.6,0.4,0.5,0.5,0.5,294.5,1,2011,0
0.4,0.6,0.6,0.47058823529411764,0.0,316.94117647058823,1,2011,0
0.4,0.8,0.4,0.7692307692307693,0.5,295.46153846153845,1,2011,1
0.4,0.2,0.5,0.3333333333333333,0.5,305.93333333333334,0,2011,1
0.6,0.6,0.5,0.6111111111111112,0.5,283.1666666666667,1,2011,1
0.6,0.4,0.5,0.3333333333333333,0.5,264.0,0,2011,0
0.4,0.0,0.5,0.7857142857142857,0.5,287.85714285714283,1,2011,1
0.6,0.6,0.42857142857142855,0.5882352941176471,1.0,322.88235294117646,1,2011,1
0.6,0.6,0.3333333333333333,0.5714285714285714,0.5,288.0,0,2011,1
0.4,0.4,1.0,0.4444444444444444,0.5,314.8333333333333,0,2011,0
0.4,0.6,0.2857142857142857,0.09090909090909091,1.0,329.72727272727275,1,2011,0
0.0,0.8,0.0,0.5,0.6666666666666666,285.7142857142857,1,2011,0
0.6,0.6,0.42857142857142855,0.6111111111111112,0.5,322.22222222222223,0,2011,1
0.4,0.6,1.0,0.25,0.5,267.0,0,2011,1
0.4,0.4,0.5,0.08333333333333333,1.0,328.75,0,2011,0
0.6,0.4,0.5,0.375,0.5,307.8125,0,2011,1
0.6,0.8,0.16666666666666666,0.631578947368421,1.0,280.8421052631579,0,2011,1
0.8,0.4,0.5714285714285714,0.625,0.0,288.7,0,2011,1
0.8,0.4,1.0,0.4117647058823529,0.5,308.8235294117647,0,2011,1
0.2,0.0,0.0,0.6428571428571429,0.5,343.07142857142856,1,2011,0
0.6,0.8,0.5,0.8,0.0,287.8,1,2011,0
0.0,0.8,0.5714285714285714,0.6,0.0,336.1333333333333,0,2011,1
0.2,0.2,0.5,0.07692307692307693,0.5,330.6923076923077,1,2011,0
0.6,1.0,0.5,0.75,0.5,290.375,0,2011,0
0.8,0.4,0.5,0.631578947368421,1.0,320.8421052631579,1,2011,1
0.4,0.2,0.5,0.5,0.5,322.702024291498,0,2011,0
1.0,0.8,0.5714285714285714,0.4444444444444444,0.5,305.72222222222223,1,2011,1
0.6,0.2,0.5714285714285714,0.6666666666666666,0.5,291.90909090909093,0,2011,0
0.4,0.4,0.5714285714285714,0.0,0.5,369.5,0,2011,1
0.4,0.4,0.0,0.0,0.5,359.0,1,2011,1
0.4,0.2,1.0,0.4,0.2,286.6,0,2011,0
0.6,1.0,0.42857142857142855,0.3333333333333333,0.5,350.0,1,2011,1
0.8,0.6,0.0,0.65,0.5,321.5,1,2011,1
0.4,0.6,0.5,0.3333333333333333,1.0,285.8125,0,2011,0
0.6,0.2,0.5,0.6,1.0,289.25,1,2011,0
0.8,0.4,0.7142857142857143,0.5,1.0,350.75,1,2011,0
0.8,0.8,0.5,0.47368421052631576,0.5,299.8421052631579,1,2011,1
0.6,0.4,0.16666666666666666,0.65,0.5,275.55,0,2011,0
0.8,0.6,0.5555555555555556,1.0,0.3333333333333333,287.53846153846155,0,2011,0
0.4,0.4,0.8571428571428571,0.5454545454545454,0.0,292.14285714285717,1,2011,1
0.6,0.4,0.375,0.3333333333333333,0.0,320.14285714285717,0,2011,1
0.8,0.6,0.5,0.6666666666666666,0.5,320.45454545454544,1,2011,1
0.8,0.4,0.5,0.6818181818181818,0.0,321.82608695652175,0,2012,0
0.4,0.2,0.5,0.6190476190476191,0.0,279.23809523809524,0,2012,0
0.6,0.4,1.0,0.5833333333333334,0.0,292.3333333333333,1,2012,0
0.2,0.8,0.5714285714285714,0.7058823529411765,0.0,290.7647058823529,0,2012,1
0.6,0.6,0.5,0.5,0.5,322.702024291498,1,2012,0
0.4,0.2,0.2857142857142857,0.5,1.0,297.7,0,2012,1
0.4,0.6,1.0,0.5,0.5,322.702024291498,1,2012,1
0.4,0.2,0.375,0.7222222222222222,0.5,294.1111111111111,0,2012,1
0.6,0.6,0.5,0.0,0.5,312.0,1,2012,0
0.6,0.2,0.625,0.5238095238095238,0.3333333333333333,297.5238095238095,1,2012,0
0.2,0.6,0.42857142857142855,0.4,1.0,300.2,1,2012,1
0.6,0.6,0.42857142857142855,0.5384615384615384,1.0,288.4375,0,2012,1
0.6,0.4,0.5454545454545454,0.6521739130434783,0.4,317.875,0,2012,1
0.4,0.4,0.0,0.625,1.0,330.75,1,2012,1
0.2,0.6,0.4444444444444444,0.5909090909090909,0.3333333333333333,275.5,0,2012,1
0.4,0.6,0.0,1.0,0.5,310.0,0,2012,1
0.4,0.4,0.5714285714285714,0.6086956521739131,0.3333333333333333,275.17391304347825,1,2012,0
0.4,0.6,0.5714285714285714,0.5,0.5,297.09090909090907,0,2012,0
0.6,0.4,0.625,0.5714285714285714,0.0,293.05882352941177,0,2012,0
0.2,0.6,1.0,0.4782608695652174,0.0,298.5652173913044,0,2012,1
0.6,0.6,0.8571428571428571,0.7368421052631579,0.0,294.7368421052632,0,2012,1
0.4,0.4,0.5,0.6470588235294118,0.5,324.88235294117646,1,2012,0
0.4,0.6,0.6666666666666666,0.6666666666666666,0.0,321.68,0,2012,1
0.6,0.4,0.5555555555555556,0.42857142857142855,0.6666666666666666,296.42857142857144,0,2012,1
0.4,0.4,0.5,0.6111111111111112,0.5,320.77777777777777,0,2012,0
